DisplayName;Department;BusinessRole;AccountType;LastLogon;Ruoli;Username;Email;UPN;EmployeeId;Manager;StatusAD;StatusHR;OrphanGroups
anna.rizzo.mnbb;Business Applications;Business Apps Analyst;Administrative;2026-02-05T11:30:55Z;INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_ADMIN,SYS_SALESFORCE_ALL,SYS_SAP_ADMIN,SYS_SERVICENOW_ALL,SYS_WORKDAY_ADMIN;;;;;;;;
luca.rossi.qrcn;Engineering Backend;Backend Engineer;Administrative;2025-09-16T09:10:55Z;INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_AWS_ADMIN,SYS_CONFLUENCE_ALL,SYS_CONFLUENCE_READ,SYS_GITLAB_ALL,SYS_JENKINS_ALL,SYS_JIRA_ADMIN,SYS_K8S_ADMIN;;;;;;;;
adm_marco.colombo;Engineering Frontend;Frontend Engineer;Administrative;2025-11-11T15:15:55Z;INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_AWS_ADMIN,SYS_CONFLUENCE_ADMIN,SYS_CONFLUENCE_READ,SYS_GITHUB_ADMIN,SYS_JENKINS_ADMIN,SYS_JIRA_ADMIN;;;;;;;;
giulia.costa.vvfv;Engineering Mobile;Mobile Engineer;Administrative;2025-06-25T17:01:55Z;INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_AWS_ADMIN,SYS_CONFLUENCE_ALL,SYS_CONFLUENCE_READ,SYS_GITHUB_ADMIN,SYS_JENKINS_ADMIN,SYS_JIRA_ALL;;;;;;;;
francesca.fontana.ccqh;Engineering QA;QA Engineer;Administrative;2025-08-13T15:27:55Z;INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_ADMIN,SYS_CONFLUENCE_READ,SYS_JENKINS_ADMIN,SYS_JIRA_ALL,SYS_K8S_ADMIN;;;;;;;;
alessandro.ferrari.zinb;Platform SRE;SRE Engineer;Administrative;2025-11-16T10:19:55Z;INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_ARGOCD_ADMIN,SYS_AWS_ADMIN,SYS_AZURE_ADMIN,SYS_CONFLUENCE_READ,SYS_DATADOG_ALL,SYS_GCP_ADMIN,SYS_K8S_ADMIN;;;;;;;;
marta.bruno.zkjj;Platform DevOps;DevOps Engineer;Administrative;2025-04-10T11:06:55Z;INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_ARGOCD_ALL,SYS_AWS_ALL,SYS_AZURE_ADMIN,SYS_CONFLUENCE_READ,SYS_GCP_ADMIN,SYS_JENKINS_ADMIN,SYS_K8S_ALL;;;;;;;;
davide.lombardi.flzr;Cloud Infrastructure;Cloud Engineer;Administrative;2025-12-18T12:28:55Z;INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_AWS_ALL,SYS_AZURE_ALL,SYS_CONFLUENCE_READ,SYS_DATADOG_ALL,SYS_GCP_ADMIN,SYS_K8S_ADMIN;;;;;;;;
elisa.bianchi.kxzx;Network Operations;Network Engineer;Administrative;2025-09-06T09:24:55Z;INF_BASTION_ALL,INF_DNS_ALL,INF_FIREWALL_ALL,INF_IAM_ADMIN,INF_MAIL_READ,INF_NETWORK_ALL,INF_SECRETS_ADMIN,INF_SIEM_ADMIN,INF_VPN_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_READ;;;;;;;;
paolo.ricci.tqva;Security SOC;SOC Analyst;Administrative;2025-07-04T15:44:55Z;INF_EDR_ADMIN,INF_FIREWALL_ALL,INF_IAM_ADMIN,INF_IAM_ALL,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_SIEM_ADMIN,INF_VPN_ALL,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_OKTA_ADMIN,SYS_SPLUNK_ADMIN;;;;;;;;
svc_security_grc_mgdo;Security GRC;GRC Specialist;Administrative;2025-12-19T14:04:55Z;INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_SIEM_ALL,INF_VPN_READ,SYS_CONFLUENCE_ADMIN,SYS_CONFLUENCE_READ,SYS_SERVICENOW_ALL,SYS_SPLUNK_ALL;;;;;;;;
andrea.santoro.pfrd;Security IAM;IAM Specialist;Administrative;2025-09-07T10:09:55Z;INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_SECRETS_ALL,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_OKTA_ADMIN,SYS_SERVICENOW_ADMIN;;;;;;;;
svc_data_vjct;Data Engineering;Data Engineer;Administrative;2025-07-03T14:50:55Z;INF_DBAAS_ADMIN,INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_AWS_ALL,SYS_CONFLUENCE_READ,SYS_GCP_ADMIN,SYS_POWERBI_ALL,SYS_SNOWFLAKE_ALL;;;;;;;;
matteo.gallo.lwta;Data Science;Data Scientist;Administrative;2025-04-19T09:58:55Z;INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_AWS_ADMIN,SYS_CONFLUENCE_ALL,SYS_CONFLUENCE_READ,SYS_GCP_ADMIN,SYS_JIRA_ADMIN,SYS_POWERBI_ADMIN,SYS_SNOWFLAKE_ALL;;;;;;;;
valentina.moretti.sekx;Analytics BI;BI Analyst;Administrative;2025-12-23T07:14:55Z;INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_POWERBI_ADMIN,SYS_SAP_ALL,SYS_SNOWFLAKE_ALL;;;;;;;;
stefano.verdi.iirv;Product Management;Product Manager;Administrative;2026-01-17T12:58:55Z;INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_ALL,SYS_CONFLUENCE_READ,SYS_JIRA_ADMIN,SYS_POWERBI_ALL;;;;;;;;
irene.marino.uinn;Product Design;Product Designer;Administrative;2025-04-11T11:33:55Z;INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_ALL,SYS_CONFLUENCE_READ,SYS_JIRA_ALL;;;;;;;;
giorgio.mancini.ietl;IT Helpdesk;IT Support;Administrative;2025-06-30T11:35:55Z;INF_FILESHARE_ALL,INF_IAM_ADMIN,INF_MAIL_ALL,INF_MAIL_READ,INF_MDM_ALL,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_OKTA_ALL,SYS_SERVICENOW_ADMIN;;;;;;;;
svc_it;IT Operations;IT Ops Specialist;Administrative;2025-04-01T12:02:55Z;INF_EDR_ALL,INF_FILESHARE_ADMIN,INF_IAM_ADMIN,INF_MAIL_ALL,INF_MAIL_READ,INF_MDM_ADMIN,INF_SECRETS_ADMIN,INF_VPN_ALL,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SERVICENOW_ADMIN;;;;;;;;
simone.romano.hseo;Workplace IT;Workplace Specialist;Administrative;2025-09-17T10:19:55Z;INF_FILESHARE_ALL,INF_IAM_ADMIN,INF_MAIL_ADMIN,INF_MAIL_READ,INF_MDM_ADMIN,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_OKTA_ALL,SYS_SERVICENOW_ALL;;;;;;;;
laura.conti.aqfc;PMO;PMO Analyst;Administrative;2025-10-23T16:58:55Z;INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_ADMIN,SYS_CONFLUENCE_READ,SYS_JIRA_ALL,SYS_POWERBI_ADMIN;;;;;;;;
antonio.barbieri.bdho;R&D AI;AI Researcher;Administrative;2025-09-25T08:38:55Z;INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_AWS_ADMIN,SYS_CONFLUENCE_ALL,SYS_CONFLUENCE_READ,SYS_GCP_ADMIN,SYS_JIRA_ALL,SYS_SNOWFLAKE_ADMIN;;;;;;;;
adm_silvia.russo.keti;R&D Innovation;Innovation Engineer;Administrative;2025-07-21T12:10:55Z;INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_ALL,INF_VPN_READ,SYS_AWS_ADMIN,SYS_AZURE_ADMIN,SYS_CONFLUENCE_ADMIN,SYS_CONFLUENCE_READ,SYS_JIRA_ALL;;;;;;;;
adm_roberto.greco.opuo;Support L1;Support Agent L1;Administrative;2025-10-23T16:28:55Z;INF_IAM_ADMIN,INF_MAIL_ALL,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_ALL,SYS_CONFLUENCE_READ,SYS_SERVICENOW_ADMIN,SYS_ZENDESK_ALL;;;;;;;;
adm_anna.rizzo.sqvw;Support L2;Support Agent L2;Administrative;2025-04-08T08:48:55Z;INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_ADMIN,SYS_CONFLUENCE_READ,SYS_SERVICENOW_ADMIN,SYS_SPLUNK_ALL,SYS_ZENDESK_ALL;;;;;;;;
svc_customer_success_zshg;Customer Success Enterprise;CSM Enterprise;Administrative;2025-05-05T15:11:55Z;INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_ALL,SYS_CONFLUENCE_READ,SYS_SALESFORCE_ADMIN,SYS_ZENDESK_ALL;;;;;;;;
marco.colombo.ytaa;Customer Success SMB;CSM SMB;Administrative;2025-11-05T10:06:55Z;INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SALESFORCE_ADMIN,SYS_ZENDESK_ALL;;;;;;;;
giulia.costa.yyfe;Sales Enterprise;Sales Executive;Administrative;2025-12-17T11:19:55Z;INF_CRM_ADMIN,INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_POWERBI_ALL,SYS_SALESFORCE_ADMIN;;;;;;;;
francesca.fontana.tftn;Sales SMB;Sales Representative;Administrative;2025-08-22T14:28:55Z;INF_CRM_ADMIN,INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SALESFORCE_ALL;;;;;;;;
alessandro.ferrari.lpft;Marketing Digital;Digital Marketer;Administrative;2025-04-21T11:55:55Z;INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_ADMIN,SYS_CONFLUENCE_READ,SYS_POWERBI_ALL,SYS_SALESFORCE_ALL;;;;;;;;
svc_marketing_content_content_yfdc;Marketing Content;Content Specialist;Administrative;2025-10-24T07:08:55Z;INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_ALL,SYS_CONFLUENCE_READ,SYS_JIRA_ALL;;;;;;;;
davide.lombardi.bawd;Finance Controlling;Controller;Administrative;2025-12-27T11:53:55Z;INF_ERP_ADMIN,INF_FILESHARE_ALL,INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_POWERBI_ADMIN,SYS_SAP_ADMIN;;;;;;;;
adm_elisa.bianchi.heqz;Finance AP;AP Specialist;Administrative;2025-10-27T10:53:55Z;INF_ERP_ADMIN,INF_FILESHARE_ALL,INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SAP_ADMIN;;;;;;;;
paolo.ricci.dcrq;Finance AR;AR Specialist;Administrative;2025-11-06T10:30:55Z;INF_ERP_ALL,INF_FILESHARE_ADMIN,INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SAP_ALL;;;;;;;;
adm_chiara.giordano.qafv;HR Talent;Talent Partner;Administrative;2025-08-31T13:11:55Z;INF_FILESHARE_ADMIN,INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_ALL,SYS_CONFLUENCE_READ,SYS_WORKDAY_ADMIN;;;;;;;;
andrea.santoro.rufi;HR Payroll;Payroll Specialist;Administrative;2025-04-17T07:13:55Z;INF_FILESHARE_ADMIN,INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_ALL,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SAP_ALL,SYS_WORKDAY_ADMIN;;;;;;;;
sara.esposito.hxfr;Legal Compliance;Compliance Analyst;Service;2025-08-27T09:32:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_FILESHARE_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_SERVICENOW_ADMIN;;;;;;;;
matteo.gallo.txui;Procurement;Procurement Specialist;Service;2025-11-20T15:04:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_ERP_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SAP_ADMIN,SYS_SERVICENOW_ADMIN;;;;;;;;
valentina.moretti.iluo;Executive Office;Executive Assistant;Service;2025-05-28T08:50:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_FILESHARE_ADMIN,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_POWERBI_ADMIN;;;;;;;;
stefano.verdi.xtsy;Internal Audit;Internal Auditor;Service;2025-08-24T16:40:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_ADMIN,SYS_CONFLUENCE_READ,SYS_POWERBI_ADMIN,SYS_SAP_ADMIN,SYS_SPLUNK_ADMIN;;;;;;;;
svc_business_applications_qxqq;Business Applications;Business Apps Analyst;Service;2025-05-02T12:20:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_WRITE,SYS_SALESFORCE_ADMIN,SYS_SAP_WRITE,SYS_SERVICENOW_ADMIN,SYS_WORKDAY_WRITE;;;;;;;;
svc_backend_acbf;Engineering Backend;Backend Engineer;Service;2025-03-23T12:34:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_ADMIN,SYS_CONFLUENCE_ADMIN,SYS_CONFLUENCE_READ,SYS_GITLAB_WRITE,SYS_JENKINS_ADMIN,SYS_JIRA_WRITE,SYS_K8S_WRITE;;;;;;;;
federica.leone.vzfq;Engineering Frontend;Frontend Engineer;Service;2025-11-27T11:29:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_WRITE,SYS_CONFLUENCE_ADMIN,SYS_CONFLUENCE_READ,SYS_GITHUB_ADMIN,SYS_JENKINS_ADMIN,SYS_JIRA_WRITE;;;;;;;;
simone.romano.agjj;Engineering Mobile;Mobile Engineer;Service;2025-10-18T11:13:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_ADMIN,SYS_CONFLUENCE_ADMIN,SYS_CONFLUENCE_READ,SYS_GITHUB_ADMIN,SYS_JENKINS_WRITE,SYS_JIRA_WRITE;;;;;;;;
laura.conti.qcqj;Engineering QA;QA Engineer;Service;2025-10-11T15:03:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JENKINS_ADMIN,SYS_JIRA_WRITE,SYS_K8S_ADMIN;;;;;;;;
antonio.barbieri.vzlx;Platform SRE;SRE Engineer;Service;2025-05-07T07:15:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_ARGOCD_WRITE,SYS_AWS_ADMIN,SYS_AZURE_WRITE,SYS_CONFLUENCE_READ,SYS_DATADOG_WRITE,SYS_GCP_ADMIN,SYS_K8S_ADMIN;;;;;;;;
silvia.russo.qtjz;Platform DevOps;DevOps Engineer;Service;2025-07-29T10:14:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_ARGOCD_WRITE,SYS_AWS_ADMIN,SYS_AZURE_ADMIN,SYS_CONFLUENCE_READ,SYS_GCP_ADMIN,SYS_JENKINS_WRITE,SYS_K8S_ADMIN;;;;;;;;
roberto.greco.adki;Cloud Infrastructure;Cloud Engineer;Service;2025-03-21T10:43:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_MAIL_READ,INF_SECRETS_WRITE,INF_VPN_READ,SYS_AWS_ADMIN,SYS_AZURE_ADMIN,SYS_CONFLUENCE_READ,SYS_DATADOG_WRITE,SYS_GCP_WRITE,SYS_K8S_WRITE;;;;;;;;
anna.rizzo.wbdt;Network Operations;Network Engineer;Service;2025-09-24T07:56:55Z;INF_BASTION_ADMIN,INF_CD_WRITE,INF_CI_WRITE,INF_DNS_ADMIN,INF_FIREWALL_ADMIN,INF_MAIL_READ,INF_NETWORK_ADMIN,INF_SIEM_WRITE,INF_VPN_ALL,INF_VPN_READ,INF_VPN_WRITE,SYS_CONFLUENCE_READ;;;;;;;;
adm_luca.rossi.kfiy;Security SOC;SOC Analyst;Service;2026-01-23T08:50:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_EDR_ADMIN,INF_FIREWALL_WRITE,INF_IAM_ADMIN,INF_MAIL_READ,INF_SIEM_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_OKTA_WRITE,SYS_SPLUNK_ADMIN;;;;;;;;
marco.colombo.brlb;Security GRC;GRC Specialist;Service;2025-10-05T08:30:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_MAIL_READ,INF_SIEM_WRITE,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_SERVICENOW_WRITE,SYS_SPLUNK_WRITE;;;;;;;;
adm_giulia.costa.owyj;Security IAM;IAM Specialist;Service;2025-10-03T16:44:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_OKTA_WRITE,SYS_SERVICENOW_WRITE;;;;;;;;
adm_francesca.fontana.ahsw;Data Engineering;Data Engineer;Service;2025-08-21T14:04:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_DBAAS_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_WRITE,SYS_CONFLUENCE_READ,SYS_GCP_ADMIN,SYS_POWERBI_WRITE,SYS_SNOWFLAKE_WRITE;;;;;;;;
alessandro.ferrari.avtb;Data Science;Data Scientist;Service;2026-02-04T10:09:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_WRITE,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_GCP_WRITE,SYS_JIRA_WRITE,SYS_POWERBI_ADMIN,SYS_SNOWFLAKE_WRITE;;;;;;;;
adm_marta.bruno.pjyp;Analytics BI;BI Analyst;Service;2025-08-19T11:46:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_POWERBI_WRITE,SYS_SAP_ADMIN,SYS_SNOWFLAKE_ADMIN;;;;;;;;
davide.lombardi.flwc;Product Management;Product Manager;Service;2025-07-30T11:14:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_WRITE,SYS_POWERBI_WRITE;;;;;;;;
elisa.bianchi.ehzv;Product Design;Product Designer;Service;2025-06-04T15:11:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_ADMIN;;;;;;;;
paolo.ricci.qzaw;IT Helpdesk;IT Support;Service;2025-06-17T08:10:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_FILESHARE_WRITE,INF_MAIL_READ,INF_MAIL_WRITE,INF_MDM_WRITE,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_OKTA_ADMIN,SYS_SERVICENOW_WRITE;;;;;;;;
adm_chiara.giordano.vjcb;IT Operations;IT Ops Specialist;Service;2025-07-06T07:48:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_EDR_WRITE,INF_FILESHARE_ADMIN,INF_MAIL_ADMIN,INF_MAIL_READ,INF_MDM_WRITE,INF_VPN_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SERVICENOW_ADMIN;;;;;;;;
andrea.santoro.hhaa;Workplace IT;Workplace Specialist;Service;2025-12-04T08:36:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_FILESHARE_WRITE,INF_MAIL_ADMIN,INF_MAIL_READ,INF_MDM_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_OKTA_WRITE,SYS_SERVICENOW_ADMIN;;;;;;;;
adm_sara.esposito.hbjl;PMO;PMO Analyst;Service;2025-07-14T16:03:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_ADMIN,SYS_CONFLUENCE_READ,SYS_JIRA_WRITE,SYS_POWERBI_ADMIN;;;;;;;;
matteo.gallo.snec;R&D AI;AI Researcher;Service;2025-07-19T10:10:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_MAIL_READ,INF_VPN_ALL,INF_VPN_READ,SYS_AWS_WRITE,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_GCP_ADMIN,SYS_JIRA_ADMIN,SYS_SNOWFLAKE_WRITE;;;;;;;;
valentina.moretti.ugjc;R&D Innovation;Innovation Engineer;Service;2025-12-18T12:55:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_WRITE,SYS_AZURE_WRITE,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_ADMIN;;;;;;;;
stefano.verdi.deaz;Support L1;Support Agent L1;Service;2025-05-06T16:50:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_MAIL_ADMIN,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_SERVICENOW_WRITE,SYS_ZENDESK_WRITE;;;;;;;;
irene.marino.jhan;Support L2;Support Agent L2;Service;2025-10-01T14:26:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_ADMIN,SYS_CONFLUENCE_READ,SYS_SERVICENOW_ADMIN,SYS_SPLUNK_ADMIN,SYS_ZENDESK_WRITE;;;;;;;;
giorgio.mancini.cvae;Customer Success Enterprise;CSM Enterprise;Service;2025-11-16T10:40:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_ADMIN,SYS_CONFLUENCE_READ,SYS_SALESFORCE_WRITE,SYS_ZENDESK_WRITE;;;;;;;;
federica.leone.xays;Customer Success SMB;CSM SMB;Service;2025-11-30T15:02:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SALESFORCE_ADMIN,SYS_ZENDESK_WRITE;;;;;;;;
svc_sales_enterprise_edca;Sales Enterprise;Sales Executive;Service;2025-12-03T07:27:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_CRM_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_POWERBI_WRITE,SYS_SALESFORCE_ADMIN;;;;;;;;
laura.conti.alwx;Sales SMB;Sales Representative;Service;2025-07-01T12:17:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_CRM_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SALESFORCE_WRITE;;;;;;;;
adm_antonio.barbieri.qyob;Marketing Digital;Digital Marketer;Service;2026-01-21T16:46:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_ADMIN,SYS_CONFLUENCE_READ,SYS_POWERBI_WRITE,SYS_SALESFORCE_ADMIN;;;;;;;;
adm_silvia.russo.uagb;Marketing Content;Content Specialist;Service;2024-08-02T08:48:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_WRITE;;;;;;;;
adm_roberto.greco.ktfs;Finance Controlling;Controller;Service;2025-04-08T08:51:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_ERP_ADMIN,INF_FILESHARE_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_POWERBI_WRITE,SYS_SAP_WRITE;;;;;;;;
svc_finance_ap_ap;Finance AP;AP Specialist;Service;2025-07-15T16:54:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_ERP_WRITE,INF_FILESHARE_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SAP_WRITE;;;;;;;;
adm_luca.rossi.wfzb;Finance AR;AR Specialist;Service;2025-10-01T14:50:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_ERP_WRITE,INF_FILESHARE_ADMIN,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SAP_WRITE;;;;;;;;
marco.colombo.laov;HR Talent;Talent Partner;Service;2025-05-19T09:13:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_FILESHARE_ADMIN,INF_MAIL_READ,INF_VPN_ALL,INF_VPN_READ,SYS_CONFLUENCE_ADMIN,SYS_CONFLUENCE_READ,SYS_WORKDAY_ADMIN;;;;;;;;
giulia.costa.urbn;HR Payroll;Payroll Specialist;Service;2025-10-05T09:06:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_FILESHARE_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SAP_ADMIN,SYS_WORKDAY_ADMIN;;;;;;;;
svc_legal_compliance;Legal Compliance;Compliance Analyst;Service;2025-07-18T09:49:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_FILESHARE_ADMIN,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_ADMIN,SYS_CONFLUENCE_READ,SYS_SERVICENOW_WRITE;;;;;;;;
alessandro.ferrari.esgd;Procurement;Procurement Specialist;Service;2025-03-29T08:56:55Z;INF_CD_WRITE,INF_CI_WRITE,INF_ERP_ADMIN,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SAP_ADMIN,SYS_SERVICENOW_WRITE;;;;;;;;
