DisplayName;Username;Department;BusinessRole;Roles;AccountType;LastLogin;Email;Manager
Luca Bianchi;luca.bianchi;Risk & Compliance;Risk Consultant;BIP_RISK_CORE,BIP_RISK_LEAD,INF_MAIL_READ,INF_VPN_READ,SYS_AUDIT_PORTAL_READ,SYS_CONFLUENCE_READ,SYS_GRC_READ,SYS_JIRA_READ,SYS_POLICY_MGMT_READ,SYS_TIMESHEET_WRITE;Internal;2025-11-28T07:47:25Z;luca.bianchi@bip.internal;Stefano Maffei
Luca Esposito;luca.esposito;Strategy & Transformation;Strategy Consultant;BIP_CLIENT_STEERCO,BIP_STRATEGY_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_SHAREPOINT_READ,SYS_TIMESHEET_WRITE;Internal;2026-01-21T10:52:25Z;luca.esposito@bip.internal;Gianluca Leone
Luca Romano;luca.romano;ERP & SAP;SAP Consultant;BIP_SAP_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_SAP_S4_READ,SYS_SIGNAVIO_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-02T15:45:25Z;luca.romano@bip.internal;Micol Marani
Luca Gallo;luca.gallo;Data & AI;Data Consultant;BIP_DATA_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_DATABRICKS_READ,SYS_JIRA_READ,SYS_POWERBI_WRITE,SYS_SNOWFLAKE_READ,SYS_TIMESHEET_WRITE;External;2025-12-19T04:43:25Z;luca.gallo@bip.internal;Salvatore Apicella
Luca Costa;luca.costa;Cybersecurity;Cybersecurity Consultant;BIP_CYBER_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_IAM_AUDIT,SYS_JIRA_READ,SYS_SIEM_READ,SYS_TIMESHEET_WRITE,SYS_VULN_MGMT_READ;Internal;2026-01-27T23:17:25Z;luca.costa@bip.internal;Stefano Maffei
Luca Fontana;luca.fontana;Cloud & DevOps;Cloud Consultant;BIP_CLOUD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_AZURE_READ,SYS_CONFLUENCE_READ,SYS_GITHUB_READ,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Administrative;2026-02-01T04:59:25Z;luca.fontana@bip.internal;Gianluca Leone
Luca Rinaldi;luca.rinaldi;PMO & Governance;PMO Consultant;BIP_PMO_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_ADMIN,SYS_JIRA_READ,SYS_MSPROJECT_READ,SYS_SHAREPOINT_WRITE,SYS_TIMESHEET_WRITE;Internal;2026-01-17T18:06:25Z;luca.rinaldi@bip.internal;Micol Marani
Luca Greco;luca.greco;Finance Advisory;Finance Consultant;BIP_FINANCE_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_ERP_FIN_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_TIMESHEET_WRITE;Internal;2025-10-20T05:38:25Z;luca.greco@bip.internal;Salvatore Apicella
Luca Conti;luca.conti;HR & Change;HR Change Consultant;BIP_HR_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CLIENT_PORTAL_WRITE,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_LMS_READ,SYS_TIMESHEET_WRITE,SYS_WORKDAY_READ;Internal;2025-12-13T05:53:25Z;luca.conti@bip.internal;Stefano Maffei
Luca Lombardi;luca.lombardi;Application Modernization;App Modernization Consultant;BIP_APPMOD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AZURE_DEVOPS_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_WRITE,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-09-16T09:35:25Z;luca.lombardi@bip.internal;Gianluca Leone
Luca Barbieri;luca.barbieri;Risk & Compliance;Risk Consultant;BIP_RISK_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AUDIT_PORTAL_READ,SYS_CONFLUENCE_READ,SYS_GRC_READ,SYS_JIRA_READ,SYS_POLICY_MGMT_READ,SYS_TIMESHEET_WRITE;Internal;2025-10-02T23:04:25Z;luca.barbieri@bip.internal;Micol Marani
Luca Marino;luca.marino;Strategy & Transformation;Strategy Consultant;BIP_CLIENT_STEERCO,BIP_STRATEGY_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_SHAREPOINT_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-29T00:29:25Z;luca.marino@bip.internal;Salvatore Apicella
Luca Colombo;luca.colombo;ERP & SAP;SAP Consultant;BIP_SAP_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_SAP_S4_READ,SYS_SIGNAVIO_READ,SYS_TIMESHEET_WRITE;External;2025-11-08T01:07:25Z;luca.colombo@bip.internal;Stefano Maffei
Luca Longo;luca.longo;Data & AI;Data Consultant;BIP_DATA_CORE,INF_IAM_ADMIN,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_DATABRICKS_READ,SYS_JIRA_READ,SYS_POWERBI_WRITE,SYS_SNOWFLAKE_READ,SYS_TIMESHEET_WRITE;Internal;2025-11-15T07:51:25Z;luca.longo@bip.internal;Gianluca Leone
Luca Mancini;luca.mancini;Cybersecurity;Cybersecurity Consultant;BIP_CYBER_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_IAM_AUDIT,SYS_JIRA_READ,SYS_SIEM_READ,SYS_TIMESHEET_WRITE,SYS_VULN_MGMT_READ;Internal;2025-10-09T08:41:25Z;luca.mancini@bip.internal;Micol Marani
Luca Ferrari;luca.ferrari;Cloud & DevOps;Cloud Consultant;BIP_CLOUD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_AZURE_READ,SYS_CONFLUENCE_READ,SYS_GITHUB_READ,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-17T15:44:25Z;luca.ferrari@bip.internal;Salvatore Apicella
Luca Martinelli;luca.martinelli;PMO & Governance;PMO Consultant;BIP_PMO_CORE,INF_MAIL_READ,INF_SECRETS_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_ADMIN,SYS_JIRA_READ,SYS_MSPROJECT_READ,SYS_SHAREPOINT_WRITE,SYS_TIMESHEET_WRITE;Internal;2025-11-24T22:11:25Z;luca.martinelli@bip.internal;Stefano Maffei
Luca Vitale;luca.vitale;Finance Advisory;Finance Consultant;BIP_FINANCE_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_ERP_FIN_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_TIMESHEET_WRITE;Internal;2025-09-30T15:11:25Z;luca.vitale@bip.internal;Gianluca Leone
Luca Caruso;luca.caruso;HR & Change;HR Change Consultant;BIP_HR_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_LMS_READ,SYS_TIMESHEET_WRITE,SYS_WORKDAY_READ;Internal;2025-12-24T22:44:25Z;luca.caruso@bip.internal;Micol Marani
Luca Serra;luca.serra;Application Modernization;App Modernization Consultant;BIP_APPMOD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AZURE_DEVOPS_WRITE,SYS_CLIENT_PORTAL_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_WRITE,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-09-10T21:34:25Z;luca.serra@bip.internal;Salvatore Apicella
Luca Palumbo;luca.palumbo;Risk & Compliance;Risk Consultant;BIP_RISK_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AUDIT_PORTAL_READ,SYS_CONFLUENCE_READ,SYS_GRC_READ,SYS_JIRA_READ,SYS_POLICY_MGMT_READ,SYS_TIMESHEET_WRITE;Internal;2026-02-01T20:53:25Z;luca.palumbo@bip.internal;Stefano Maffei
Luca Sanna;luca.sanna;Strategy & Transformation;Strategy Consultant;BIP_CLIENT_STEERCO,BIP_STRATEGY_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_SHAREPOINT_READ,SYS_TIMESHEET_WRITE;External;2025-11-26T20:16:25Z;luca.sanna@bip.internal;Gianluca Leone
Luca Neri;luca.neri;ERP & SAP;SAP Consultant;BIP_SAP_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_SAP_S4_READ,SYS_SIGNAVIO_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-20T14:06:25Z;luca.neri@bip.internal;Micol Marani
Luca Ferrara;luca.ferrara;Data & AI;Data Consultant;BIP_DATA_CORE,BIP_DATA_LEAD,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_DATABRICKS_READ,SYS_JIRA_READ,SYS_POWERBI_WRITE,SYS_SNOWFLAKE_READ,SYS_TIMESHEET_WRITE;Internal;2025-10-17T16:14:25Z;luca.ferrara@bip.internal;Salvatore Apicella
Luca De Luca;luca.de.luca;Cybersecurity;Cybersecurity Consultant;BIP_CYBER_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_IAM_AUDIT,SYS_JIRA_READ,SYS_SIEM_READ,SYS_TIMESHEET_WRITE,SYS_VULN_MGMT_READ;Internal;2026-01-15T22:49:25Z;luca.de.luca@bip.internal;Stefano Maffei
Luca Moretti;luca.moretti;Cloud & DevOps;Cloud Consultant;BIP_CLOUD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_AZURE_READ,SYS_CONFLUENCE_READ,SYS_GITHUB_READ,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-09-25T04:18:25Z;luca.moretti@bip.internal;Gianluca Leone
Luca Parisi;luca.parisi;PMO & Governance;PMO Consultant;BIP_PMO_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_ADMIN,SYS_JIRA_READ,SYS_MSPROJECT_READ,SYS_SHAREPOINT_WRITE,SYS_TIMESHEET_WRITE;Internal;2025-12-18T06:57:25Z;luca.parisi@bip.internal;Micol Marani
Luca Giordano;luca.giordano;Finance Advisory;Finance Consultant;BIP_FINANCE_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_ERP_FIN_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_TIMESHEET_WRITE;Internal;2025-11-06T16:42:25Z;luca.giordano@bip.internal;Salvatore Apicella
Luca Pellegrini;luca.pellegrini;HR & Change;HR Change Consultant;BIP_HR_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_LMS_READ,SYS_TIMESHEET_WRITE,SYS_WORKDAY_READ;Internal;2026-01-25T01:21:25Z;luca.pellegrini@bip.internal;Stefano Maffei
Matteo Rossi;matteo.rossi;Application Modernization;App Modernization Consultant;BIP_APPMOD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AZURE_DEVOPS_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_WRITE,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-11-20T09:22:25Z;matteo.rossi@bip.internal;Gianluca Leone
Matteo Bianchi;matteo.bianchi;Risk & Compliance;Risk Consultant;BIP_RISK_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AUDIT_PORTAL_READ,SYS_CLIENT_PORTAL_WRITE,SYS_CONFLUENCE_READ,SYS_GRC_READ,SYS_JIRA_READ,SYS_POLICY_MGMT_READ,SYS_TIMESHEET_WRITE;External;2025-10-21T23:45:25Z;matteo.bianchi@bip.internal;Micol Marani
Matteo Esposito;matteo.esposito;Strategy & Transformation;Strategy Consultant;BIP_CLIENT_STEERCO,BIP_STRATEGY_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_SHAREPOINT_READ,SYS_TIMESHEET_WRITE;Internal;2025-08-30T02:07:25Z;matteo.esposito@bip.internal;Salvatore Apicella
Matteo Romano;matteo.romano;ERP & SAP;SAP Consultant;BIP_SAP_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_SAP_S4_READ,SYS_SIGNAVIO_READ,SYS_TIMESHEET_WRITE;Internal;2026-01-24T21:23:25Z;matteo.romano@bip.internal;Stefano Maffei
Matteo Gallo;matteo.gallo;Data & AI;Data Consultant;BIP_DATA_CORE,INF_MAIL_READ,INF_SECRETS_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_DATABRICKS_READ,SYS_JIRA_READ,SYS_POWERBI_WRITE,SYS_SNOWFLAKE_READ,SYS_TIMESHEET_WRITE;Internal;2025-11-24T19:33:25Z;matteo.gallo@bip.internal;Gianluca Leone
Matteo Costa;matteo.costa;Cybersecurity;Cybersecurity Consultant;BIP_CYBER_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_IAM_AUDIT,SYS_JIRA_READ,SYS_SIEM_READ,SYS_TIMESHEET_WRITE,SYS_VULN_MGMT_READ;Internal;2025-12-31T16:14:25Z;matteo.costa@bip.internal;Micol Marani
Matteo Fontana;matteo.fontana;Cloud & DevOps;Cloud Consultant;BIP_CLOUD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_AZURE_READ,SYS_CONFLUENCE_READ,SYS_GITHUB_READ,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-10-27T18:21:25Z;matteo.fontana@bip.internal;Salvatore Apicella
Matteo Rinaldi;matteo.rinaldi;PMO & Governance;PMO Consultant;BIP_PMO_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_ADMIN,SYS_JIRA_READ,SYS_MSPROJECT_READ,SYS_SHAREPOINT_WRITE,SYS_TIMESHEET_WRITE;Internal;2026-01-03T14:19:25Z;matteo.rinaldi@bip.internal;Stefano Maffei
Matteo Greco;matteo.greco;Finance Advisory;Finance Consultant;BIP_FINANCE_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_ERP_FIN_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-17T20:20:25Z;matteo.greco@bip.internal;Gianluca Leone
Matteo Conti;matteo.conti;HR & Change;HR Change Consultant;BIP_HR_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_LMS_READ,SYS_TIMESHEET_WRITE,SYS_WORKDAY_READ;Internal;2025-10-01T19:45:25Z;matteo.conti@bip.internal;Micol Marani
Matteo Lombardi;matteo.lombardi;Application Modernization;App Modernization Consultant;BIP_APPMOD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AZURE_DEVOPS_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_WRITE,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;External;2025-09-05T04:55:25Z;matteo.lombardi@bip.internal;Salvatore Apicella
Matteo Barbieri;matteo.barbieri;Risk & Compliance;Risk Consultant;BIP_RISK_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AUDIT_PORTAL_READ,SYS_CONFLUENCE_READ,SYS_GRC_READ,SYS_JIRA_READ,SYS_POLICY_MGMT_READ,SYS_TIMESHEET_WRITE;Internal;2026-02-15T19:49:25Z;matteo.barbieri@bip.internal;Stefano Maffei
Matteo Marino;matteo.marino;Strategy & Transformation;Strategy Consultant;BIP_CLIENT_STEERCO,BIP_STRATEGY_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CLIENT_PORTAL_WRITE,SYS_CONFLUENCE_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_SHAREPOINT_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-20T17:22:25Z;matteo.marino@bip.internal;Gianluca Leone
Matteo Colombo;matteo.colombo;ERP & SAP;SAP Consultant;BIP_SAP_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_SAP_S4_READ,SYS_SIGNAVIO_READ,SYS_TIMESHEET_WRITE;Administrative;2025-10-17T07:35:25Z;matteo.colombo@bip.internal;Micol Marani
Matteo Longo;matteo.longo;Data & AI;Data Consultant;BIP_DATA_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_DATABRICKS_READ,SYS_JIRA_READ,SYS_POWERBI_WRITE,SYS_SNOWFLAKE_READ,SYS_TIMESHEET_WRITE;Internal;2025-11-08T21:38:25Z;matteo.longo@bip.internal;Salvatore Apicella
Matteo Mancini;matteo.mancini;Cybersecurity;Cybersecurity Consultant;BIP_CYBER_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_IAM_AUDIT,SYS_JIRA_READ,SYS_SIEM_READ,SYS_TIMESHEET_WRITE,SYS_VULN_MGMT_READ;Internal;2025-11-13T22:24:25Z;matteo.mancini@bip.internal;Stefano Maffei
Matteo Ferrari;matteo.ferrari;Cloud & DevOps;Cloud Consultant;BIP_CLOUD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_AZURE_READ,SYS_CONFLUENCE_READ,SYS_GITHUB_READ,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-13T08:30:25Z;matteo.ferrari@bip.internal;Gianluca Leone
Matteo Martinelli;matteo.martinelli;PMO & Governance;PMO Consultant;BIP_PMO_CORE,BIP_PMO_LEAD,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_ADMIN,SYS_JIRA_READ,SYS_MSPROJECT_READ,SYS_SHAREPOINT_WRITE,SYS_TIMESHEET_WRITE;Internal;2025-11-02T00:02:25Z;matteo.martinelli@bip.internal;Micol Marani
Matteo Vitale;matteo.vitale;Finance Advisory;Finance Consultant;BIP_FINANCE_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_ERP_FIN_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_TIMESHEET_WRITE;Internal;2025-09-29T01:03:25Z;matteo.vitale@bip.internal;Salvatore Apicella
Matteo Caruso;matteo.caruso;HR & Change;HR Change Consultant;BIP_HR_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_LMS_READ,SYS_TIMESHEET_WRITE,SYS_WORKDAY_READ;External;2025-10-17T18:36:25Z;matteo.caruso@bip.internal;Stefano Maffei
Matteo Serra;matteo.serra;Application Modernization;App Modernization Consultant;BIP_APPMOD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AZURE_DEVOPS_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_WRITE,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-05T16:45:25Z;matteo.serra@bip.internal;Gianluca Leone
Matteo Palumbo;matteo.palumbo;Risk & Compliance;Risk Consultant;BIP_RISK_CORE,INF_MAIL_READ,INF_SECRETS_READ,INF_VPN_READ,SYS_AUDIT_PORTAL_READ,SYS_CONFLUENCE_READ,SYS_GRC_READ,SYS_JIRA_READ,SYS_POLICY_MGMT_READ,SYS_TIMESHEET_WRITE;Internal;2025-09-22T23:14:25Z;matteo.palumbo@bip.internal;Micol Marani
Matteo Sanna;matteo.sanna;Strategy & Transformation;Strategy Consultant;BIP_CLIENT_STEERCO,BIP_STRATEGY_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_SHAREPOINT_READ,SYS_TIMESHEET_WRITE;Internal;2026-02-02T23:28:25Z;matteo.sanna@bip.internal;Salvatore Apicella
Matteo Neri;matteo.neri;ERP & SAP;SAP Consultant;BIP_SAP_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CLIENT_PORTAL_WRITE,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_SAP_S4_READ,SYS_SIGNAVIO_READ,SYS_TIMESHEET_WRITE;Internal;2026-02-04T21:11:25Z;matteo.neri@bip.internal;Stefano Maffei
Matteo Ferrara;matteo.ferrara;Data & AI;Data Consultant;BIP_DATA_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_DATABRICKS_READ,SYS_JIRA_READ,SYS_POWERBI_WRITE,SYS_SNOWFLAKE_READ,SYS_TIMESHEET_WRITE;Internal;2025-10-19T05:50:25Z;matteo.ferrara@bip.internal;Gianluca Leone
Matteo De Luca;matteo.de.luca;Cybersecurity;Cybersecurity Consultant;BIP_CYBER_CORE,INF_IAM_ADMIN,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_IAM_AUDIT,SYS_JIRA_READ,SYS_SIEM_READ,SYS_TIMESHEET_WRITE,SYS_VULN_MGMT_READ;Internal;2025-10-06T17:45:25Z;matteo.de.luca@bip.internal;Micol Marani
Matteo Moretti;matteo.moretti;Cloud & DevOps;Cloud Consultant;BIP_CLOUD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_AZURE_READ,SYS_CONFLUENCE_READ,SYS_GITHUB_READ,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-10-11T19:54:25Z;matteo.moretti@bip.internal;Salvatore Apicella
Matteo Parisi;matteo.parisi;PMO & Governance;PMO Consultant;BIP_PMO_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_ADMIN,SYS_JIRA_READ,SYS_MSPROJECT_READ,SYS_SHAREPOINT_WRITE,SYS_TIMESHEET_WRITE;Internal;2026-01-02T20:10:25Z;matteo.parisi@bip.internal;Stefano Maffei
Matteo Giordano;matteo.giordano;Finance Advisory;Finance Consultant;BIP_FINANCE_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_ERP_FIN_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_TIMESHEET_WRITE;External;2026-02-01T00:53:25Z;matteo.giordano@bip.internal;Gianluca Leone
Matteo Pellegrini;matteo.pellegrini;HR & Change;HR Change Consultant;BIP_HR_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_LMS_READ,SYS_TIMESHEET_WRITE,SYS_WORKDAY_READ;Internal;2025-12-20T10:41:25Z;matteo.pellegrini@bip.internal;Micol Marani
Davide Rossi;davide.rossi;Application Modernization;App Modernization Consultant;BIP_APPMOD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AZURE_DEVOPS_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_WRITE,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-09-26T15:11:25Z;davide.rossi@bip.internal;Salvatore Apicella
Davide Bianchi;davide.bianchi;Risk & Compliance;Risk Consultant;BIP_RISK_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AUDIT_PORTAL_READ,SYS_CONFLUENCE_READ,SYS_GRC_READ,SYS_JIRA_READ,SYS_POLICY_MGMT_READ,SYS_TIMESHEET_WRITE;Internal;2025-09-19T21:09:25Z;davide.bianchi@bip.internal;Stefano Maffei
Davide Esposito;davide.esposito;Strategy & Transformation;Strategy Consultant;BIP_CLIENT_STEERCO,BIP_STRATEGY_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_SHAREPOINT_READ,SYS_TIMESHEET_WRITE;Internal;2026-01-29T09:06:25Z;davide.esposito@bip.internal;Gianluca Leone
Davide Romano;davide.romano;ERP & SAP;SAP Consultant;BIP_SAP_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_SAP_S4_READ,SYS_SIGNAVIO_READ,SYS_TIMESHEET_WRITE;Internal;2025-09-22T04:15:25Z;davide.romano@bip.internal;Micol Marani
Davide Gallo;davide.gallo;Data & AI;Data Consultant;BIP_DATA_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CLIENT_PORTAL_WRITE,SYS_CONFLUENCE_READ,SYS_DATABRICKS_READ,SYS_JIRA_READ,SYS_POWERBI_WRITE,SYS_SNOWFLAKE_READ,SYS_TIMESHEET_WRITE;Internal;2025-11-30T14:35:25Z;davide.gallo@bip.internal;Salvatore Apicella
Davide Costa;davide.costa;Cybersecurity;Cybersecurity Consultant;BIP_CYBER_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_IAM_AUDIT,SYS_JIRA_READ,SYS_SIEM_READ,SYS_TIMESHEET_WRITE,SYS_VULN_MGMT_READ;Internal;2025-08-31T00:28:25Z;davide.costa@bip.internal;Stefano Maffei
Davide Fontana;davide.fontana;Cloud & DevOps;Cloud Consultant;BIP_CLOUD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_AZURE_READ,SYS_CONFLUENCE_READ,SYS_GITHUB_READ,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-19T14:23:25Z;davide.fontana@bip.internal;Gianluca Leone
Davide Rinaldi;davide.rinaldi;PMO & Governance;PMO Consultant;BIP_PMO_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_ADMIN,SYS_JIRA_READ,SYS_MSPROJECT_READ,SYS_SHAREPOINT_WRITE,SYS_TIMESHEET_WRITE;External;2026-01-16T01:07:25Z;davide.rinaldi@bip.internal;Micol Marani
Davide Greco;davide.greco;Finance Advisory;Finance Consultant;BIP_FINANCE_CORE,INF_MAIL_READ,INF_SECRETS_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_ERP_FIN_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-04T08:28:25Z;davide.greco@bip.internal;Salvatore Apicella
Davide Conti;davide.conti;HR & Change;HR Change Consultant;BIP_HR_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_LMS_READ,SYS_TIMESHEET_WRITE,SYS_WORKDAY_READ;Internal;2026-01-31T22:19:25Z;davide.conti@bip.internal;Stefano Maffei
Davide Lombardi;davide.lombardi;Application Modernization;App Modernization Consultant;BIP_APPMOD_CORE,BIP_APPMOD_LEAD,INF_MAIL_READ,INF_VPN_READ,SYS_AZURE_DEVOPS_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_WRITE,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-09-12T04:42:25Z;davide.lombardi@bip.internal;Gianluca Leone
